trial	value	rameau-tfidf-spacy-fr	rameau-fasttext-fr
1	0.540427565574646	0.46380828320698586	0.5361917167930141
3	0.48526138067245483	0.07192268405844778	0.9280773159415522
0	0.5431025624275208	0.5314670218561667	0.4685329781438333
2	0.5437625050544739	0.5503402212480538	0.4496597787519462
4	0.5349681377410889	0.38618141889878627	0.6138185811012137
5	0.5284090042114258	0.3096720031062027	0.6903279968937973
7	0.5448527336120605	0.723426572310303	0.27657342768969695
6	0.5356091260910034	0.3938890774688535	0.6061109225311465
8	0.5267710089683533	0.9845959072656725	0.015404092734327513
9	0.5417166352272034	0.48845835835946416	0.511541641640536
11	0.5408585071563721	0.8335575763760192	0.16644242362398073
10	0.541212260723114	0.4756698732333651	0.5243301267666348
12	0.5452675223350525	0.6289341262799584	0.3710658737200415
13	0.5413826107978821	0.47990379481387496	0.520096205186125
15	0.5438657999038696	0.7667649335883797	0.2332350664116203
14	0.5439606308937073	0.7584713258150092	0.2415286741849909
16	0.5444338917732239	0.7467188932985261	0.2532811067014739
19	0.545296847820282	0.6311055617850021	0.36889443821499784
17	0.5445452928543091	0.7441165125996074	0.2558834874003927
18	0.5450213551521301	0.6022929601914541	0.397707039808546
20	0.5454978346824646	0.649817290811592	0.35018270918840794
21	0.5454570651054382	0.6437799734546865	0.3562200265453135
22	0.5454569458961487	0.6513279821916447	0.34867201780835544
23	0.5455305576324463	0.6464776756511553	0.3535223243488447
24	0.5454006791114807	0.6388365984581884	0.36116340154181165
25	0.5455299019813538	0.6466084839634384	0.3533915160365617
26	0.5454869866371155	0.6522868716028803	0.3477131283971197
27	0.5454807281494141	0.6495036488164552	0.35049635118354483
28	0.5384190082550049	0.43108901695881197	0.5689109830411881
29	0.5371888279914856	0.4140622666509432	0.5859377333490567
30	0.5437607765197754	0.770435672023151	0.22956432797684903
31	0.5438738465309143	0.7660284598062459	0.23397154019375402
32	0.5442433953285217	0.7532053167057615	0.24679468329423848
33	0.5445499420166016	0.7439896466969769	0.25601035330302324
34	0.5432628989219666	0.5375739488903867	0.4624260511096135
35	0.5430817008018494	0.5287626455621376	0.47123735443786247
36	0.5452922582626343	0.633974305763197	0.3660256942368031
37	0.5453037619590759	0.6334623368325112	0.3665376631674888
38	0.5452602505683899	0.6293973879157738	0.37060261208422624
39	0.545376181602478	0.6986778252018864	0.30132217479811374
40	0.5455642938613892	0.682647993353352	0.31735200664664787
41	0.5455060601234436	0.6527338047634104	0.3472661952365897
43	0.5455216765403748	0.653209890775761	0.3467901092242391
42	0.5455116629600525	0.6470349096636313	0.3529650903363687
44	0.5455061793327332	0.6527224297001221	0.347277570299878
45	0.5455029010772705	0.6546684421038702	0.34533155789612985
46	0.5455347299575806	0.6618992202392127	0.33810077976078723
47	0.5439701080322266	0.5558841603147747	0.4441158396852254
48	0.5436294078826904	0.5464288379262382	0.45357116207376175
49	0.5323538780212402	0.3512062023015556	0.6487937976984445
50	0.5452240109443665	0.6137542937329319	0.3862457062670681
51	0.5276094675064087	0.3022543769773542	0.6977456230226458
52	0.543898344039917	0.7620439870967091	0.23795601290329085
53	0.5383216738700867	0.8735088489165412	0.12649115108345882
54	0.5453038215637207	0.7073384506147362	0.29266154938526384
55	0.5448290705680847	0.7275877498647377	0.27241225013526227
56	0.5452786684036255	0.7047017840565477	0.2952982159434523
57	0.5455425381660461	0.6661494338275724	0.3338505661724276
59	0.5452936291694641	0.618901075766242	0.38109892423375796
58	0.5452556610107422	0.6183096279760856	0.3816903720239144
60	0.5431885123252869	0.5351220674419048	0.46487793255809506
61	0.5435481071472168	0.5447121361914734	0.4552878638085264
62	0.543400764465332	0.5416650151225565	0.4583349848774434
63	0.5371106266975403	0.4125606360490162	0.5874393639509838
64	0.5454922318458557	0.6564565154348838	0.3435434845651162
65	0.5454614758491516	0.6573714835919932	0.34262851640800684
67	0.5455096364021301	0.6547401718286711	0.34525982817132894
66	0.5452761054039001	0.625269582301822	0.3747304176981781
68	0.5453046560287476	0.7033836192295877	0.2966163807704123
69	0.5454955101013184	0.6919913947408072	0.30800860525919294
71	0.5455501079559326	0.6937790470634654	0.3062209529365347
70	0.5440143346786499	0.5603586984100349	0.439641301589965
72	0.5436825156211853	0.5472662517387475	0.4527337482612524
73	0.5436226725578308	0.5461138097558313	0.4538861902441686
75	0.5387283563613892	0.43407745244321605	0.565922547556784
74	0.5423800945281982	0.5023277661547019	0.4976722338452982
76	0.5441042184829712	0.75605570465285	0.24394429534715006
78	0.5441381931304932	0.7555700159813813	0.24442998401861865
77	0.5334914326667786	0.3652441009899145	0.6347558990100856
79	0.5445156693458557	0.7377023176760366	0.26229768232396344
80	0.5450891852378845	0.7149176254704295	0.2850823745295706
81	0.5259401798248291	0.9912074271645227	0.008792572835477257
82	0.5435023903846741	0.7786774323606165	0.22132256763938357
83	0.5436030030250549	0.7761771135073899	0.22382288649260995
84	0.5456461906433105	0.6770446283792758	0.32295537162072424
85	0.54524165391922	0.6203443282300409	0.3796556717699591
86	0.5452939867973328	0.6189896817255893	0.38101031827441073
87	0.5452976226806641	0.6305696423092779	0.36943035769072213
88	0.5445144176483154	0.5845006039038668	0.4154993960961331
89	0.5446083545684814	0.5861565266770916	0.4138434733229085
90	0.5452695488929749	0.6259996777645755	0.3740003222354246
91	0.5455517768859863	0.6681328450373044	0.3318671549626956
92	0.5456115007400513	0.6794896300040345	0.3205103699959655
93	0.5415500402450562	0.8177636253181456	0.18223637468185436
94	0.5456405878067017	0.6739355659741875	0.32606443402581264
95	0.545646071434021	0.6771176278813874	0.32288237211861254
96	0.5445249080657959	0.7419578642527629	0.2580421357472371
97	0.544647753238678	0.733270506970651	0.26672949302934895
98	0.5448440313339233	0.7253088772177438	0.2746911227822561
99	0.5446833372116089	0.7322237323788177	0.26777626762118234
