,Precision_doc_avg,Recall_doc_avg,F1_score_doc_avg,Precision_subj_avg,Recall_subj_avg,F1_score_subj_avg,Precision_weighted_subj_avg,Recall_weighted_subj_avg,F1_score_weighted_subj_avg,Precision_microavg,Recall_microavg,F1_score_microavg,F1@5,NDCG,NDCG@5,NDCG@10,Precision@1,Precision@3,Precision@5,True_positives,False_positives,False_negatives,Documents_evaluated
rameau-chains-pav-allButFastext-fr.json,0.889303942521479,0.9474632777553631,0.902058153994835,0.12304599737361001,0.12078842746568101,0.121096145308608,0.8703624227230391,0.9406387741513691,0.9012895584251011,0.875795249262255,0.9406387741513691,0.9070596113647551,0.897911012584338,0.953457355499267,0.9548899531364441,0.9536836147308351,0.97747963584092,0.9148059415428841,0.8939075227599421,312214,44278,19703,125220
rameau-chains-mllm-snowball-fr.json,0.23899368856843703,0.160374208489098,0.171902854273135,0.028402928565191003,0.016136741798159,0.018452418002669002,0.30077897424063305,0.136284071017754,0.161140516122803,0.393460732210112,0.136284071017754,0.202446272410737,0.17195757260782202,0.18134947121143302,0.18277049064636203,0.181380927562713,0.270196454240536,0.24082148751530602,0.23915069477719203,45235,69732,286682,125220
rameau-mllm-fr.json,0.23935336663910703,0.17157696939189301,0.179250348356043,0.025325551150192003,0.017918050036768,0.019028536118229,0.276351145304156,0.144342534745299,0.16694549334109401,0.381981629861246,0.144342534745299,0.20951421343737903,0.179345413134663,0.19063515961170102,0.19171032309532102,0.19064751267433103,0.268156630956778,0.24086319418790703,0.23952099495136,9773,15812,57934,27070
rameau-chains-omikuji-parabel-fr.json,0.8968731698876641,0.80146888257944,0.826779725185096,0.12463864074695001,0.101019299804511,0.10910498725652001,0.9345406682514861,0.779050184232805,0.838945415371481,0.9484823475469961,0.779050184232805,0.8554575199076321,0.8238688131610341,0.830046355724334,0.8352228999137871,0.8302404284477231,0.916810413671937,0.8995461321407651,0.897094580205505,258580,14045,73337,125220
rameau-tfidf-snowball-fr.json,0.128823699286388,0.52786746003034,0.193333923591009,0.024571609443821002,0.052584938071034,0.028848476895531,0.208428834960373,0.47828141846485506,0.26290995862717403,0.12670049728663801,0.47828141846485506,0.200331586729107,0.254375804771227,0.450928896665573,0.41709655523300104,0.45097905397415106,0.434059844846693,0.265349094939046,0.19847617288511202,32383,223204,35324,27070
rameau-pav-mllmSpacy-allButFastext-fr.json,0.139131624867417,0.562497574411982,0.21206385014871101,0.026260618893098,0.055459804183417005,0.030642921027352003,0.23677166617063602,0.522848252629413,0.29472321546908203,0.139136385410251,0.522848252629413,0.21978520892674702,0.299946796419433,0.502812504768371,0.476550877094268,0.502885699272155,0.504157114996407,0.32661580045848004,0.23772539090566902,40664,251596,37110,29227
rameau-omikuji-parabel-fr.json,0.358427386962665,0.261100838987798,0.27982939778122,0.028059275519737,0.014258181100760001,0.017327181919693003,0.45428314631314903,0.22706662531200603,0.279773958538562,0.616068924063313,0.22706662531200603,0.33182966048649903,0.279663042682048,0.28611639142036405,0.287747144699096,0.286134928464889,0.379903952715182,0.359309198374584,0.358452776751631,15374,9581,52333,27070
rameau-tfidf-spacy-fr.json,0.136077458841102,0.500263382250138,0.19773105079698902,0.022358501151605002,0.046818216015749,0.026087826917697003,0.21841289836331101,0.45437010557177204,0.265633874316394,0.13214236296797602,0.45437010557177204,0.204740879803458,0.252989522394644,0.432593464851379,0.39967542886734003,0.43265938758850103,0.431131172206264,0.26884717092964905,0.203212624811927,35335,232066,42432,29244
rameau-omikuji-snowball-fr.json,0.35787415625074603,0.25055555481540304,0.271454274851233,0.017056242796620002,0.008311110985489001,0.010202676141367,0.45990267429553805,0.222670815439607,0.276219221920927,0.6107349414585971,0.222670815439607,0.32635447093187603,0.27128108731140604,0.277290493249893,0.279421627521514,0.27730804681777904,0.38004376966215203,0.359105001595768,0.357909314731226,17318,11038,60456,29244
rameau-chains-omikuji-snowball-fr.json,0.8929414484475571,0.7905132752495221,0.8185917818847651,0.121349062231971,0.096746562530492,0.10512568482366601,0.934351744368024,0.7687102498516191,0.8324213797121811,0.9512106921169861,0.7687102498516191,0.8502779295911701,0.8157748918670841,0.8203662037849421,0.8255872130393981,0.8205580115318291,0.9110046318479471,0.895324229356332,0.8931625672150341,255148,13087,76769,125220
rameau-chains-tfidf-fr.json,0.215249918872942,0.738097515946855,0.30517354576904904,0.07194558017750201,0.150701288439268,0.087641814844146,0.311208786483855,0.6975267913363881,0.397069562810254,0.200265554853944,0.6975267913363881,0.311186858487338,0.41380217418540605,0.6950743198394771,0.666162312030792,0.6952547430992121,0.748682319118351,0.467109886599584,0.339146036309428,231521,924549,100396,125220
rameau-fasttext-fr.json,0.171505266037477,0.09895687955033401,0.11602244755199201,0.007527532755597001,0.0023406312158750003,0.003226265542552,0.259252621587165,0.072151426697699,0.10317305813214701,0.547468045662991,0.072151426697699,0.12749954553717502,0.11602244755199201,0.11486543715000101,0.11535207182168901,0.11486863344907701,0.174018602106414,0.171505266037477,0.171505266037477,5611,4638,72156,29244
rameau-chains-tfidf-snowball-fr.json,0.20326064856012102,0.744196811526711,0.29620657897582103,0.07320328277849701,0.150524079862144,0.08894243522065401,0.297783031279995,0.703160729941521,0.38778762117352306,0.195421403069255,0.703160729941521,0.305843286618578,0.409117766195215,0.696868360042572,0.665962994098663,0.6970475316047661,0.7462226481392741,0.46081430016504205,0.33155206835968604,233391,960905,98526,125220
rameau-pav-allButFastext-fr.json,0.136329421425394,0.5503364848746061,0.207707974312131,0.027645902913407003,0.049026437876753,0.030910493682744,0.22468035592029903,0.512317741147427,0.280953118598945,0.13633408608773,0.512317741147427,0.21535858867023003,0.294118341413633,0.49610334634780806,0.470787346363067,0.49618506431579507,0.5043966195641011,0.32296620704599605,0.23327744893420402,39845,252415,37929,29227
rameau-mllm-snowball-fr.json,0.07712147552192701,0.314547687538326,0.117252448967708,0.019647640282615002,0.034187893939094,0.020762714085566,0.16286446234731403,0.283462339599351,0.156279449366987,0.07683059004750001,0.283462339599351,0.12089373404584901,0.16598003181560902,0.289184719324111,0.275888234376907,0.289237171411514,0.322304718239983,0.184481244511353,0.13103465973243902,22046,264897,55728,29227
rameau-ensemble-mllmSpacy-allButFastext-fr.json,0.20015977833064702,0.589380989313326,0.278750347914948,0.027758213139573003,0.054848069227337,0.033448713681488,0.235923647386401,0.5497981330521761,0.315128259199686,0.18880170963568602,0.5497981330521761,0.281080015118896,0.33166689582319503,0.5241072177886961,0.498630404472351,0.524194359779357,0.511444896841961,0.348832700356975,0.26884387723680103,42760,183721,35014,29227
rameau-simple-ensemble-all-fr.json,0.36270147647779705,0.26676364055843105,0.281150484028569,0.032195508739868005,0.019220466189313,0.021935078097984003,0.44756004088117,0.22400933433766002,0.270351909977105,0.599083619702176,0.22400933433766002,0.32608789129686905,0.281155594462198,0.291992276906967,0.29360482096672,0.292008757591247,0.390247506464721,0.36434552395025205,0.36277859869474205,15167,10150,52540,27070
rameau-ensemble-fasttext-fr.json,0.298417462662937,0.242223707110112,0.242102342911648,0.016037178742056003,0.009540192763561,0.010804072045336,0.28126885513968203,0.199506697978052,0.209524966267731,0.39959768074784,0.199506697978052,0.26613864507294704,0.242099267138347,0.25898236036300604,0.260290086269378,0.25899595022201505,0.333764314739564,0.299932274350449,0.298454008127077,13508,20296,54199,27070
rameau-chains-mllm-fr.json,0.256229765770973,0.175150778777693,0.18590224169497602,0.030449110156961,0.017777442771102003,0.020191400227984,0.31719774405791,0.14905834892458,0.17550541850158302,0.399214078801913,0.14905834892458,0.217067970025096,0.186005447896072,0.19734361767768802,0.19886089861392903,0.19737206399440702,0.291846350423255,0.25861284139913704,0.25644106372783904,49475,74456,282442,125220
rameau-ensemble-allButFastext-fr.json,0.17511544826185402,0.5984984738875211,0.255845314423769,0.02674151641857,0.056239128126570004,0.032771772361779,0.21656623716573803,0.556715611901149,0.296225036025461,0.168232505731048,0.556715611901149,0.25838445563698,0.319241951338539,0.5216130018234251,0.489905029535293,0.5216957926750181,0.500359256851541,0.334912922982174,0.25430252848393603,43298,214072,34476,29227
