trial	value	rameau-tfidf-spacy-fr	rameau-mllm-fr
0	0.525265634059906	0.39502764036228566	0.6049723596377143
1	0.5189460515975952	0.3187647982022	0.6812352017978001
3	0.5375235080718994	0.5911622773206243	0.40883772267937574
2	0.5184817314147949	0.31369388924632874	0.6863061107536713
6	0.4575435519218445	0.009746355116700888	0.9902536448832991
5	0.505597710609436	0.19765721552284635	0.8023427844771537
4	0.536224365234375	0.5635806654934414	0.4364193345065586
7	0.5225303769111633	0.3605782808602545	0.6394217191397455
8	0.5282607078552246	0.431808981928664	0.568191018071336
10	0.5308935642242432	0.963953001729878	0.03604699827012206
11	0.5024991631507874	0.175677385298743	0.824322614701257
9	0.5350785851478577	0.5424045485008995	0.45759545149910064
13	0.5421070456504822	0.7480718803301168	0.25192811966988315
12	0.5300785899162292	0.4581463202862875	0.5418536797137126
14	0.5421369671821594	0.7492612041331779	0.2507387958668221
15	0.5420666933059692	0.7526810866632049	0.24731891333679507
16	0.5420469641685486	0.7520470639035974	0.2479529360964026
17	0.5420317053794861	0.7571813056137545	0.24281869438624556
19	0.5416737198829651	0.722126748236294	0.277873251763706
18	0.5421021580696106	0.74890619445969	0.25109380554030997
20	0.5419543385505676	0.8217605266116618	0.17823947338833832
23	0.5414895415306091	0.8412640513524542	0.1587359486475458
21	0.5409819483757019	0.8571222191310104	0.14287778086898956
22	0.5412434935569763	0.8489035872523271	0.15109641274767294
24	0.541771411895752	0.8287836472009736	0.1712163527990265
26	0.5395187735557556	0.6462477232707085	0.35375227672929155
25	0.5396835803985596	0.6529171532040753	0.3470828467959246
27	0.5390247106552124	0.6277536862839125	0.3722463137160874
28	0.5380797982215881	0.6059176664239238	0.3940823335760762
29	0.5411749482154846	0.7011038889202655	0.2988961110797344
30	0.5411836504936218	0.6998457033586223	0.30015429664137777
31	0.5416045188903809	0.7192104318557512	0.2807895681442487
32	0.5422298908233643	0.7833878714391472	0.21661212856085266
33	0.5316107273101807	0.482132649524312	0.517867350475688
34	0.5421259999275208	0.7440810249821596	0.2559189750178405
35	0.5420198440551758	0.7408585070092184	0.2591414929907817
36	0.532071590423584	0.4885388584092776	0.5114611415907224
37	0.5418348908424377	0.7283560875654963	0.2716439124345036
39	0.5416628122329712	0.8343934375880733	0.1656065624119268
38	0.5346452593803406	0.9378229618790288	0.06217703812097123
40	0.5390620231628418	0.8927979980971488	0.1072020019028513
41	0.5407818555831909	0.6873345660036239	0.31266543399637625
42	0.54234379529953	0.7775449883641563	0.22245501163584366
43	0.5422712564468384	0.7846723404704632	0.21532765952953686
44	0.5419681072235107	0.8134382021489716	0.18656179785102847
45	0.5383751392364502	0.6119415870827	0.38805841291730003
46	0.5388848185539246	0.6231553207867063	0.37684467921329373
47	0.5419740676879883	0.7609457023406612	0.2390542976593388
48	0.5375198721885681	0.5911426147576541	0.408857385242346
49	0.5199217200279236	0.33049848620637523	0.6695015137936249
50	0.5287317037582397	0.9784833154575588	0.021516684542441173
51	0.5277912020683289	0.42594514599161404	0.574054854008386
52	0.5402811169624329	0.6680137095266633	0.33198629047333666
53	0.5328126549720764	0.95136005297072	0.04863994702928003
54	0.5420368313789368	0.7552004190494628	0.24479958095053717
55	0.5421221852302551	0.7479079022550768	0.2520920977449233
56	0.5420786738395691	0.7528967805775935	0.24710321942240654
57	0.5420575737953186	0.7538333783336129	0.2461666216663871
58	0.5418909788131714	0.8260864771090084	0.17391352289099152
59	0.5421100854873657	0.7512273245799219	0.24877267542007803
60	0.5419041514396667	0.8095215548133184	0.19047844518668156
61	0.5420395731925964	0.8057569259534243	0.19424307404657562
63	0.53806471824646	0.6058860677329222	0.39411393226707786
62	0.541135311126709	0.6970722244129346	0.3029277755870653
64	0.5389664769172668	0.8949732420131992	0.10502675798680092
65	0.5403644442558289	0.8694612181988673	0.13053878180113265
66	0.5395431518554688	0.8851172226112412	0.11488277738875893
67	0.5419763326644897	0.8012802862721928	0.1987197137278071
68	0.5421529412269592	0.7462734489338839	0.2537265510661161
69	0.5419853925704956	0.7392318268451576	0.26076817315484235
70	0.5420646071434021	0.7527489491536123	0.24725105084638754
71	0.5421250462532043	0.7486578488414694	0.25134215115853065
72	0.5409980416297913	0.6950679387186468	0.30493206128135314
73	0.5416386723518372	0.714106030750964	0.285893969249036
74	0.541985809803009	0.7326293939516109	0.26737060604838914
75	0.5421361327171326	0.7455699667557805	0.2544300332442195
76	0.5338537096977234	0.5182475739279286	0.48175242607207136
77	0.5352166295051575	0.5445171684496324	0.4554828315503677
78	0.541016697883606	0.6932155952534358	0.30678440474656427
79	0.540992259979248	0.6927141391879506	0.3072858608120495
80	0.5412429571151733	0.8486222798437357	0.15137772015626422
81	0.5421295166015625	0.791891897930705	0.20810810206929492
82	0.5360442996025085	0.5599054110134986	0.44009458898650144
83	0.541914165019989	0.8120368599440941	0.18796314005590586
84	0.5355879068374634	0.5516288062038305	0.4483711937961695
85	0.5364829897880554	0.5698462916458465	0.4301537083541534
86	0.5420330762863159	0.7599487639014295	0.24005123609857051
87	0.542095422744751	0.7447451127797128	0.2552548872202871
88	0.541826605796814	0.7272509179255896	0.2727490820744103
89	0.541916012763977	0.7352500412579093	0.26474995874209084
90	0.5423125624656677	0.7807584676285596	0.21924153237144045
91	0.5363897681236267	0.9236851497647894	0.0763148502352105
92	0.530447244644165	0.4653989003050018	0.5346010996949982
93	0.5421251058578491	0.7498339643111478	0.2501660356888523
94	0.5419937968254089	0.7386241850675043	0.2613758149324958
95	0.541993260383606	0.7391698589528719	0.26083014104712815
96	0.5420565009117126	0.742920270038843	0.25707972996115713
97	0.5417947173118591	0.8285405579238307	0.17145944207616923
98	0.540997326374054	0.8567937424273521	0.14320625757264793
99	0.5419393181800842	0.8212601173818647	0.17873988261813525
