trial	value	rameau-chains-tfidf-snowball-fr	rameau-chains-mllm-snowball-fr	rameau-chains-omikuji-snowball-fr
1	0.8766166567802429	0.3793100724623895	0.4141242821294126	0.20656564540819775
3	0.9193422794342041	0.31070185506160924	0.34555042125712926	0.34374772368126144
2	0.8629963994026184	0.8282309258555792	0.05702730600137363	0.11474176814304714
0	0.9042350053787231	0.38103887334298825	0.3431595613172054	0.2758015653398063
5	0.9307335615158081	0.38552845880836756	0.22606124285884646	0.38841029833278595
6	0.8279239535331726	0.34764068670365883	0.5191784315075391	0.1331808817888022
4	0.9206362962722778	0.32380015168296095	0.3295403048615274	0.34665954345551164
7	0.7903839945793152	0.42766670435277854	0.49935579289787413	0.0729775027493473
8	0.8425034284591675	0.17766163162985982	0.6195095501433117	0.20282881822682855
9	0.9461889863014221	0.36289905296452124	0.12216895975967619	0.5149319872758026
11	0.7439289689064026	0.0872399068966606	0.8009761108008177	0.11178398230252169
10	0.8516339659690857	0.6952099789264979	0.20187938309021794	0.10291063798328412
12	0.8787938356399536	0.3820961693074156	0.4076317378679542	0.21027209282463014
13	0.9561053514480591	0.269985720559629	0.1362034533604082	0.5938108260799627
15	0.9511315822601318	0.2241904811241441	0.25206935716519663	0.5237401617106593
14	0.9508931040763855	0.248769070460627	0.225072303825772	0.526158625713601
16	0.9493792653083801	0.2583217624747287	0.2274677250222252	0.5142105125030461
17	0.9517382383346558	0.2648618112724007	0.19621820989824354	0.5389199788293556
18	0.9492167830467224	0.25795352656050313	0.22934870787668832	0.5126977655628085
19	0.9457997679710388	0.22891752174288063	0.28613860383242495	0.4849438744246944
20	0.9394472241401672	0.17534632403742414	0.37239971816217554	0.4522539578004002
21	0.9639995098114014	0.2497952233215952	0.014215301601881359	0.7359894750765233
22	0.9639533162117004	0.2517179060462627	0.010066935243411103	0.7382151587103262
23	0.9356459975242615	0.14949817244927088	0.41125081334049984	0.4392510142102293
24	0.969657838344574	0.18020539315591716	0.005711234985319781	0.814083371858763
25	0.9753386974334717	0.08423859542350802	0.023540736838657508	0.8922206677378345
26	0.9783434867858887	0.007775419558162828	0.004957861372647419	0.9872667190691898
27	0.9751500487327576	0.09131192806642659	0.01133450424834	0.8973535676852336
28	0.9783027768135071	0.013693426377980697	0.001967356335822557	0.9843392172861967
29	0.9765220880508423	0.02295993826901637	0.10383089750317127	0.8732091642278123
31	0.9709858894348145	0.08620757953445382	0.1745969174177503	0.7391955030477959
30	0.9767515063285828	0.004164885158735566	0.1085053346622002	0.8873297801790643
32	0.9685502052307129	0.04324196430643509	0.25732535459120937	0.6994326811023556
33	0.976457953453064	0.010367836932450905	0.1166778873156383	0.8729542757519108
34	0.9727933406829834	0.10928838751554175	0.0802412387937383	0.81047037369072
35	0.9738832712173462	0.0007696599466887525	0.19052868438249035	0.8087016556708209
36	0.9722482562065125	0.11580681503588373	0.08583529281995785	0.7983578921441584
37	0.9727030396461487	0.11127866987030993	0.07832520511888072	0.8103961250108093
39	0.9728453159332275	0.11731537549971374	0.05833985010323431	0.8243447743970519
38	0.9699447751045227	0.09884773022347271	0.17689901694726143	0.7242532528292659
40	0.9683436751365662	0.10951087494973183	0.19177486729376023	0.698714257756508
41	0.9683268666267395	0.11000649025452723	0.19140435678126794	0.6985891529642048
42	0.9547052383422852	0.26651854521135193	0.15968556096758718	0.5737958938210608
43	0.9590425491333008	0.20535322316471424	0.1946595164698256	0.59998726036546
44	0.9751170873641968	0.0041421764202048475	0.16053112217257234	0.8353267014072229
45	0.9759818911552429	0.009430216704202703	0.13470024295651487	0.8558695403392824
47	0.9759241938591003	0.014617768409089139	0.13324337185213406	0.8521388597387768
46	0.9753906726837158	0.013613729113318795	0.1512113586003731	0.8351749122863081
48	0.9749133586883545	0.0773293113745487	0.06787677276714421	0.8547939158583071
49	0.97562575340271	0.07194346077529425	0.04171498754897298	0.8863415516757327
51	0.9756789207458496	0.07220601309066833	0.03774505884188441	0.8900489280674472
50	0.9575445055961609	0.23958845741214943	0.1635482826387704	0.5968632599490802
52	0.9730542898178101	0.07012753426083602	0.14905181050187014	0.7808206552372938
53	0.9086041450500488	0.6129007233554677	0.1343398513262673	0.25275942531826495
54	0.9134731292724609	0.5857564494223553	0.13653890295424034	0.2777046476234043
55	0.9155282974243164	0.37588106382095277	0.3079373181294376	0.3161816180496097
56	0.9073948860168457	0.6203451205810387	0.1327194280298355	0.24693545138912568
58	0.9454389810562134	0.4015230751134217	0.07595698310587937	0.5225199417806988
57	0.9259375333786011	0.027349215049730365	0.5230410845515987	0.4496097003986709
59	0.9674147367477417	0.17118563299377465	0.10631100006471297	0.7225033669415124
60	0.9225700497627258	0.09186071882159007	0.5005945822185307	0.4075446989598792
61	0.9245128631591797	0.021720280346846865	0.5298887819011723	0.44839093775198074
62	0.9535102248191833	0.1674485970384033	0.29295625078607035	0.5395951521755263
63	0.9567360877990723	0.1601001216060439	0.2740725013503172	0.5658273770436388
64	0.9753057956695557	0.029881401554980473	0.13852158662339636	0.8315970118216233
65	0.9761863946914673	0.006197511295462547	0.12977214215684796	0.8640303465476895
67	0.7269766926765442	0.44657069505379493	0.5334708277076072	0.019958477238597797
66	0.9754989147186279	0.02550144365066769	0.13861404372618508	0.8358845126231472
68	0.9778559803962708	0.001215728588374713	0.05008201477315055	0.9487022566384747
70	0.9404313564300537	0.4684255029241774	0.04123074086235207	0.4903437562134705
69	0.9770405888557434	0.04086924311195894	0.03805586376419503	0.921074893123846
71	0.9743093848228455	0.08879218143847702	0.0680985804742052	0.8431092380873177
72	0.93851637840271	0.48607598434326105	0.041155889540325036	0.47276812611641406
75	0.9762751460075378	0.06022928679007092	0.03512411246763339	0.9046466007422956
74	0.974818229675293	0.10101154579514972	3.429008786458479e-05	0.8989541641169857
73	0.9744282364845276	0.09736390733120098	0.03813620491624179	0.8644998877525572
76	0.9763807058334351	0.059661849998458805	0.031402207855249144	0.908935942146292
77	0.9766959547996521	0.060173696231359326	0.002835205740392251	0.9369910980282484
78	0.9763708114624023	0.05765335581798362	0.037013219735608394	0.9053334244464081
79	0.9762659668922424	0.056924868725507484	0.04795317348368776	0.8951219577908047
80	0.9765357971191406	0.057594041985052434	0.02544592180492762	0.9169600362100199
82	0.9700970649719238	0.13693315342634654	0.10610094414528193	0.7569659024283716
81	0.9667403697967529	0.12929816730913898	0.19104643103692234	0.6796554016539387
83	0.9702971577644348	0.1357044789663804	0.10342976565241377	0.7608657553812058
84	0.9773962497711182	0.04219835682666133	0.0030989551337535517	0.9547026880395851
86	0.9783068299293518	0.00704268202703069	0.00886059896059147	0.9840967190123778
85	0.9783210754394531	0.00014860960757281182	0.004795867462378341	0.9950555229300488
87	0.9776479601860046	0.03299186884476345	0.01286631115592005	0.9541418199993166
88	0.9782280921936035	0.002544550631853186	0.01840909826142901	0.9790463511067178
89	0.97833251953125	0.0009604846427792273	0.004231173604243042	0.9948083417529778
91	0.9777300953865051	0.002504162364117472	0.059523529768958784	0.9379723078669236
90	0.9783148169517517	0.0010084223735891522	0.007271373875198693	0.9917202037512122
92	0.9772080779075623	0.02786373900627139	0.06217671346449898	0.9099595475292297
93	0.9478182792663574	0.40332061158634397	0.0369367867725162	0.5597426016411399
94	0.9778925180435181	0.02924025628263654	0.001901947642257266	0.9688577960751062
95	0.9777414798736572	0.006305323386472537	0.05912143086507385	0.9345732457484537
96	0.9777732491493225	0.00347163286795489	0.056872419608364616	0.9396559475236804
98	0.9781819581985474	0.004521195773903203	0.02282936314024146	0.9726494410858554
97	0.9781900644302368	0.000145941168519641	0.016318941181229587	0.9835351176502508
99	0.9743841290473938	0.10417066585790845	0.01798440851234983	0.8778449256297417
