trial	value	rameau-tfidf-snowball-fr	rameau-mllm-snowball-fr	rameau-omikuji-snowball-fr
0	0.03847328793838403	0.3215667288092344	0.3491365269102411	0.3292967442805245
1	0.03865754956196062	0.24428560301599928	0.4020496946103709	0.3536647023736299
2	0.03828211228123968	0.5260152028313586	0.4302814330464059	0.04370336412223547
3	0.03909829778279714	0.12494928207730262	0.8505545223524469	0.024496195570250453
4	0.03820478116549004	0.49682062201109156	0.011441489111919558	0.4917378888769889
5	0.03814255430525658	0.6124050008067273	0.23106916191267401	0.15652583728059866
6	0.038344032787816645	0.3861885280186405	0.2913567584879921	0.3224547134933675
7	0.03944975151513344	0.08121539199393049	0.4775717419345518	0.4412128660715176
8	0.03889685104529225	0.17382098638077317	0.4311104949248426	0.3950685186943843
9	0.0383427483803636	0.36952801061573043	0.26796750137436004	0.3625044880099095
