trial	value	rameau-tfidf-spacy-fr	rameau-fasttext-fr	rameau-mllm-fr	rameau-omikuji-parabel-fr
3	0.5894817113876343	0.22374807661130222	0.2471197441893159	0.10319687688226437	0.4259353023171175
1	0.5829337239265442	0.1459404157420454	0.40803988835841243	0.1968375785771462	0.24918211732239595
2	0.5863354206085205	0.4626406535867202	0.04956969131937054	0.0943008352549581	0.3934888198389512
0	0.5829151272773743	0.4383913158521703	0.12655435590506456	0.020982679277340148	0.4140716489654251
4	0.5747269988059998	0.4553146809671644	0.2637149706516084	0.1737918504906432	0.10717849789058398
5	0.5816270709037781	0.2658153007980348	0.34544033367960897	0.1926012197585383	0.19614314576381797
6	0.5780780911445618	0.03245038415264408	0.5271569826651509	0.12334042299925889	0.3170522101829462
7	0.5728000998497009	0.3118153911979618	0.33484397309207165	0.26077308681706013	0.09256754889290639
8	0.5602912306785583	0.19031748532634027	0.2880847106143887	0.45031231882399353	0.07128548523527739
9	0.5851707458496094	0.4764778156579584	0.08432046050487187	0.07696183103820808	0.3622398927989618
10	0.5752260088920593	0.31591191533167856	0.3589347524839188	0.20622572854683166	0.11892760363757084
11	0.591927707195282	0.221626290837933	0.12212863156664144	0.28439669168193754	0.3718483859134879
14	0.5970597267150879	0.1562550732812919	0.05113768483563306	0.1968392490644765	0.5957679928185985
13	0.5877701044082642	0.010943838009348306	0.26412376404935917	0.38140081196491266	0.34353158597637984
12	0.5704523324966431	0.4101917358339571	0.07225612839014603	0.3867539071689745	0.1307982286069224
15	0.5930356979370117	0.11730335699944465	0.12897368656150254	0.35218927867590866	0.40153367776314425
16	0.5909829139709473	0.04253408577024033	0.1700275647544005	0.3971429988797649	0.39029535059559434
17	0.5977351069450378	0.13505275542553022	0.01869053748024189	0.2215379706874326	0.6247187364067952
18	0.5970712304115295	0.1259604565915571	0.016222821901696407	0.30225997126369136	0.5555567502430551
19	0.5986403822898865	0.11284521571116364	0.021444642674957555	0.23338710635846832	0.6323230352554104
20	0.5965680480003357	0.15849212964318257	0.008273792049963572	0.26997777272642565	0.5632563055804282
22	0.5983615517616272	0.11461200842182559	0.045989309841409615	0.276052407716167	0.5633462740205977
23	0.5927043557167053	0.27537962632152924	0.004600153113005598	0.22766564098718	0.49235457957828516
21	0.596431314945221	0.1615166615874508	0.030911044453722104	0.2623270130609298	0.5452452808978973
24	0.592558741569519	0.26490645104824273	0.01633333280717913	0.2569974269211994	0.4617627892233787
25	0.5936370491981506	0.24431056986310085	0.11262452647513249	0.16271117461410925	0.4803537290476574
27	0.5968610644340515	0.06838635630448402	0.11258049371444095	0.3328269157905064	0.4862062341905687
26	0.5968977212905884	0.07488726585444787	0.12003205268469502	0.32477765658425906	0.48030302487659804
28	0.5965918302536011	0.06908783476513543	0.11043263656939749	0.33903486081822154	0.4814446678472456
29	0.597661018371582	0.06201065354506219	0.08091116816817528	0.333824266633491	0.5232539116532715
30	0.5976374745368958	0.06334625183371594	0.07399708312503285	0.33491149348663296	0.5277451715546183
31	0.6024525761604309	0.03456475452378047	0.09969396532642649	0.16059903208868517	0.7051422480611078
32	0.5954121947288513	0.02909002172545231	0.15744840197142437	0.05258406947835093	0.7608775068247724
34	0.5967767238616943	0.01855062676026603	0.17750497216159308	0.3415819562568954	0.4623624448212454
33	0.5665106773376465	0.008526862761474815	0.48986083739776204	0.003675800453028126	0.49793649938773504
35	0.60081547498703	0.002263370520557048	0.1869483120200201	0.1563130417878215	0.6544752756716015
36	0.593808114528656	0.19352414746024157	0.13817153519992442	0.12181413181926798	0.5464901855205662
37	0.5945775508880615	0.21069547842460382	0.04873013768031046	0.14894905626260185	0.5916253276324839
38	0.5944092273712158	0.22052166733456183	0.052775417610689435	0.15851964265852783	0.568183272396221
39	0.5921667218208313	0.18855442318551277	0.20166940340750203	0.11109604393805267	0.49868012946893253
40	0.5951502919197083	0.04487782729151956	0.2545261507861719	0.09980642062110716	0.6007896013012014
41	0.5944299697875977	0.053026081533191174	0.2715588642996977	0.10583327198158543	0.5695817821855256
