,Precision_doc_avg,Recall_doc_avg,F1_score_doc_avg,Precision_subj_avg,Recall_subj_avg,F1_score_subj_avg,Precision_weighted_subj_avg,Recall_weighted_subj_avg,F1_score_weighted_subj_avg,Precision_microavg,Recall_microavg,F1_score_microavg,F1@5,NDCG,NDCG@5,NDCG@10,Precision@1,Precision@3,Precision@5,True_positives,False_positives,False_negatives,Documents_evaluated
rameau-omikuji-fr.json,0.023,0.077777777777777,0.033649617925933004,2.6312814915548455e-05,8.844424629975889e-05,3.049689815728436e-05,0.018214385045668,0.073482428115015,0.023406742814982003,0.023,0.073482428115015,0.035034272658035,0.051762626262626,0.070824056863784,0.07120981067419001,0.070824056863784,0.09,0.06,0.044000000000000004,23,977,290,100
rameau-mllm-fr.json,0.08398412698412701,0.289206349206349,0.12012951462022602,0.0006809854095470001,0.000693691235868,0.0006706975801940001,0.23346403330428803,0.23642172523961602,0.227242760789086,0.079059829059829,0.23642172523961602,0.11849479583666901,0.142480241980241,0.22855037450790402,0.20166023075580503,0.22855037450790402,0.22,0.13999999999999901,0.11800000000000001,74,862,239,100
rameau-tfidf-fr.json,0.023000000000000003,0.07077777777777701,0.033355245631561004,3.4039174485865064e-05,9.911855188766085e-05,4.572645584030265e-05,0.023645130753756002,0.073482428115015,0.032653155429877005,0.023,0.073482428115015,0.035034272658035,0.041929292929292004,0.069256484508514,0.063085712492465,0.069256484508514,0.09,0.053333333333333004,0.036000000000000004,23,977,290,100
rameau-ensemble-fr.json,0.078,0.29903968253968205,0.11633652252460301,0.000728375797661,0.0007491421739870001,0.0007182266450760001,0.24765708200212902,0.24920127795527103,0.24003633402242602,0.078,0.24920127795527103,0.11881188118811802,0.13655167055167,0.23444166779518102,0.205248489975929,0.23444166779518102,0.24,0.129999999999999,0.111999999999999,78,922,235,100
rameau-pav-MLLM-fr.json,0.10253047654229701,0.45630578222007806,0.159081914063009,0.029673922514674003,0.050990374118727005,0.032169597991396,0.20410076297354202,0.40992807242973406,0.23523774535094502,0.102534264287561,0.40992807242973406,0.164038097264455,0.21345355851627001,0.39700475335121105,0.36661067605018605,0.397042959928512,0.40214259327669005,0.23181874153429302,0.164166974510528,27755,242935,39952,27070
rameau-ensemble-MLLM-fr.json,0.076,0.29542857142857104,0.11385531951708401,0.0007221550779450001,0.0007444288442470001,0.000713008326311,0.24133456644806903,0.24281150159744402,0.23404976280375603,0.076,0.24281150159744402,0.115765422696115,0.13455167055167,0.22892513871192902,0.19782535731792403,0.22892513871192902,0.23,0.126666666666666,0.111999999999999,76,924,237,100
rameau-fasttext-fr.json,0.019000000000000003,0.070944444444444,0.028349251625567003,2.281514195827369e-06,4.657878801993572e-05,4.136717064940013e-06,0.006583446233564,0.060702875399361006,0.011615449291271,0.019,0.060702875399361006,0.028941355674028002,0.042564213564213006,0.074836380779743,0.073352463543415,0.074836380779743,0.14,0.056666666666666005,0.036000000000000004,19,981,294,100
rameau-ensemble-OMIK-fr.json,0.01,0.030111111111111002,0.013417932944248001,2.8270736617655424e-05,8.040386027250808e-05,2.8362573194656663e-05,0.050488107916222005,0.028753993610223003,0.015120236525987001,0.012228260869565001,0.028753993610223003,0.017159199237368,0.015937229437229,0.021270252764225003,0.019310176372528,0.021270252764225003,0.01,0.02,0.014,9,727,304,100
rameau-ensemble-fasttext-fr.json,0.006999999999999001,0.019833333333333,0.010157509157509001,1.1165662511789482e-05,6.487759759919618e-05,1.7694072899049943e-05,0.008134709332792001,0.022364217252396002,0.009176208335813,0.008196721311475001,0.022364217252396002,0.011996572407883,0.011579365079365,0.013041752390563,0.010578729212284001,0.013041752390563,0.0,0.006666666666666,0.01,7,847,306,100
rameau-pav-fasttext-fr.json,0.015,0.050111111111111,0.022057626583942003,2.229807771057682e-05,6.071877724027335e-05,3.0452910351591056e-05,0.015551756901446001,0.047923322683706006,0.022350706531241,0.015,0.047923322683706006,0.022848438690022004,0.032809523809523004,0.049095347523689006,0.046809591352939,0.049095347523689006,0.07,0.026666666666666002,0.028,15,985,298,100
rameau-ensemble-omikuji-fr.json,0.010428571428571001,0.032111111111111,0.014471545997861001,2.7161006945812943e-05,8.428542594083608e-05,3.386421409124458e-05,0.025645121651511,0.031948881789137004,0.018406851558514,0.012224938875305002,0.031948881789137004,0.017683465959328,0.018159451659451,0.023389903828501,0.02246362902224,0.023389903828501,0.01,0.016666666666666,0.016,10,808,303,100
